DateTime,Open,High,Low,Close,Volume
2010-04-08,1.3328,1.3383,1.3281,1.3361,0
2010-04-09,1.336,1.3498,1.3341,1.3497,0
2010-04-11,1.366,1.3676,1.3607,1.3654,0
2010-04-12,1.3655,1.3691,1.3565,1.3573,0
2010-04-13,1.3574,1.3664,1.3544,1.366,0
2010-04-14,1.3659,1.3678,1.3593,1.3649,0
2010-04-15,1.3648,1.3649,1.352,1.3541,0
2010-04-16,1.3542,1.3562,1.3471,1.35,0
2010-04-18,1.3467,1.3497,1.3445,1.3462,0
2010-04-19,1.3461,1.35,1.3415,1.3477,0
2010-04-20,1.3478,1.3521,1.3404,1.3417,0
2010-04-21,1.3416,1.3446,1.3357,1.3387,0
2010-04-22,1.3388,1.342,1.3201,1.3224,0
2010-04-23,1.3223,1.3399,1.3218,1.3384,0
2010-04-25,1.3347,1.3396,1.3333,1.3369,0
2010-04-26,1.337,1.3415,1.329,1.338,0
2010-04-27,1.3379,1.3385,1.3143,1.3215,0
2010-04-28,1.3214,1.3265,1.3113,1.3213,0
2010-04-29,1.3212,1.3278,1.3192,1.3252,0
2010-04-30,1.3251,1.3341,1.3235,1.3292,0
2010-05-02,1.3358,1.3359,1.3208,1.3214,0
2010-05-03,1.3215,1.3252,1.3153,1.3201,0
2010-05-04,1.32,1.3208,1.2936,1.2957,0
2010-05-05,1.2958,1.2995,1.2788,1.2844,0
2010-05-06,1.2843,1.2843,1.2518,1.2705,0
2010-05-07,1.2706,1.2797,1.2608,1.2751,0
2010-05-09,1.2918,1.2967,1.2806,1.2945,0
2010-05-10,1.2944,1.3092,1.2722,1.2746,0
2010-05-11,1.2745,1.2758,1.2615,1.2634,0
2010-05-12,1.2635,1.2737,1.2604,1.2647,0
2010-05-13,1.2646,1.2683,1.2515,1.2535,0
2010-05-14,1.2534,1.2575,1.2353,1.2357,0
2010-05-16,1.2341,1.2371,1.2233,1.2266,0
2010-05-17,1.2265,1.2413,1.2254,1.2334,0
2010-05-18,1.2333,1.2443,1.2143,1.2191,0
2010-05-19,1.2192,1.2432,1.2154,1.2362,0
2010-05-20,1.2361,1.2597,1.2296,1.2594,0
2010-05-21,1.2593,1.2671,1.247,1.2571,0
2010-05-23,1.2537,1.2562,1.248,1.25,0
2010-05-24,1.2499,1.2524,1.2282,1.2292,0
2010-05-25,1.2291,1.2387,1.2177,1.2295,0
2010-05-26,1.2296,1.2344,1.2153,1.2224,0
2010-05-27,1.2225,1.2393,1.2202,1.2299,0
2010-05-28,1.2298,1.2452,1.2264,1.2271,0
2010-05-30,1.2265,1.233,1.226,1.2318,0
2010-05-31,1.2317,1.2333,1.2244,1.2255,0
2010-06-01,1.2254,1.2352,1.211,1.2211,0
2010-06-02,1.2212,1.2306,1.2174,1.2291,0
2010-06-03,1.2292,1.2326,1.2151,1.2177,0
2010-06-04,1.2178,1.2214,1.1954,1.1966,0
2010-06-06,1.1928,1.1965,1.1875,1.1895,0
2010-06-07,1.1896,1.199,1.189,1.1968,0
2010-06-08,1.1969,1.2008,1.1901,1.1948,0
2010-06-09,1.1947,1.2072,1.1923,1.2032,0
2010-06-10,1.2033,1.2147,1.2007,1.21,0
2010-06-11,1.2099,1.2151,1.2044,1.2111,0
2010-06-13,1.2128,1.2207,1.2115,1.2181,0
2010-06-14,1.218,1.2297,1.2162,1.2219,0
2010-06-15,1.2218,1.2348,1.2167,1.2317,0
2010-06-16,1.2316,1.2352,1.2254,1.2272,0
2010-06-17,1.2271,1.2412,1.2241,1.2404,0
2010-06-18,1.2403,1.2415,1.2352,1.2386,0
2010-06-20,1.2451,1.2467,1.2367,1.2413,0
2010-06-21,1.2414,1.2466,1.2283,1.2303,0
2010-06-22,1.2302,1.2327,1.2244,1.2262,0
2010-06-23,1.2261,1.2351,1.2208,1.2345,0
2010-06-24,1.2346,1.2387,1.226,1.232,0
2010-06-25,1.2321,1.2394,1.2253,1.2367,0
2010-06-27,1.2373,1.2396,1.2368,1.2382,0
2010-06-28,1.2381,1.2385,1.2257,1.2264,0
2010-06-29,1.2265,1.2271,1.215,1.2212,0
2010-06-30,1.2211,1.2303,1.2192,1.2203,0
2010-07-01,1.2204,1.2539,1.2195,1.2513,0
2010-07-02,1.2512,1.261,1.2481,1.2565,0
2010-07-04,1.2561,1.2564,1.2521,1.2538,0
2010-07-05,1.2539,1.2557,1.2479,1.2534,0
2010-07-06,1.2535,1.2661,1.2517,1.259,0
2010-07-07,1.2591,1.2687,1.2552,1.2652,0
2010-07-08,1.2651,1.2711,1.2633,1.2685,0
2010-07-09,1.2687,1.2728,1.2608,1.2639,0
2010-07-11,1.2636,1.2646,1.2586,1.2597,0
2010-07-12,1.2598,1.2612,1.255,1.259,0
2010-07-13,1.2589,1.2737,1.2522,1.2717,0
2010-07-14,1.2716,1.2777,1.2682,1.2752,0
2010-07-15,1.2753,1.2954,1.2716,1.2912,0
2010-07-16,1.2911,1.3006,1.2888,1.2929,0
2010-07-18,1.2905,1.292,1.2882,1.2902,0
2010-07-19,1.2903,1.2991,1.2869,1.2961,0
2010-07-20,1.2962,1.3027,1.2838,1.2881,0
2010-07-21,1.288,1.2912,1.2731,1.2771,0
2010-07-22,1.277,1.2932,1.274,1.2886,0
2010-07-23,1.2885,1.2964,1.2792,1.2908,0
2010-07-25,1.289,1.2943,1.2876,1.2929,0
2010-07-26,1.2928,1.3016,1.2888,1.3008,0
2010-07-27,1.3007,1.3045,1.2951,1.2994,0
2010-07-28,1.2993,1.3041,1.2968,1.301,0
2010-07-29,1.3009,1.3105,1.3003,1.3057,0
2010-07-30,1.3056,1.3092,1.2979,1.305,0
2010-08-01,1.3062,1.3086,1.3053,1.3082,0
2010-08-02,1.3081,1.3194,1.3055,1.3168,0
2010-08-03,1.3167,1.3261,1.3146,1.3215,0
2010-08-04,1.3214,1.3232,1.313,1.3146,0
2010-08-05,1.3147,1.3234,1.3118,1.3186,0
2010-08-06,1.3187,1.3333,1.3157,1.328,0
2010-08-08,1.3294,1.3295,1.3275,1.328,0
2010-08-09,1.3279,1.3307,1.3134,1.3148,0
2010-08-10,1.3147,1.3227,1.3073,1.3122,0
2010-08-11,1.3121,1.3122,1.2829,1.2882,0
2010-08-12,1.2883,1.2931,1.2779,1.2862,0
2010-08-13,1.2861,1.2905,1.2748,1.2753,0
2010-08-15,1.2765,1.2792,1.2733,1.2777,0
2010-08-16,1.2778,1.287,1.277,1.2837,0
2010-08-17,1.2836,1.2915,1.2824,1.2839,0
2010-08-18,1.284,1.2921,1.2781,1.2808,0
2010-08-19,1.2807,1.2901,1.277,1.2811,0
2010-08-20,1.281,1.2832,1.2663,1.2711,0
2010-08-22,1.2704,1.2723,1.2688,1.2714,0
2010-08-23,1.2713,1.2728,1.2619,1.2634,0
2010-08-24,1.2633,1.2718,1.2587,1.2655,0
2010-08-25,1.2656,1.2726,1.2607,1.2716,0
2010-08-26,1.2717,1.2763,1.2663,1.2712,0
2010-08-27,1.2713,1.2778,1.2675,1.2762,0
2010-08-29,1.276,1.2768,1.2733,1.2737,0
2010-08-30,1.2738,1.2746,1.2632,1.265,0
2010-08-31,1.2651,1.2742,1.2624,1.2703,0
2010-09-01,1.2704,1.2854,1.2695,1.2787,0
2010-09-02,1.2788,1.2847,1.2776,1.2817,0
2010-09-03,1.2818,1.2896,1.2808,1.2895,0
2010-09-05,1.289,1.29,1.2871,1.2893,0
2010-09-06,1.2894,1.2918,1.2788,1.2807,0
2010-09-07,1.2806,1.2814,1.2676,1.2691,0
2010-09-08,1.2692,1.2763,1.2659,1.2711,0
2010-09-09,1.2712,1.2765,1.2644,1.2664,0
2010-09-10,1.2666,1.2746,1.2663,1.2682,0
2010-09-12,1.2714,1.2798,1.2703,1.2788,0
2010-09-13,1.2789,1.2892,1.2783,1.2873,0
2010-09-14,1.2874,1.3033,1.2829,1.2965,0
2010-09-15,1.2966,1.3036,1.2959,1.2987,0
2010-09-16,1.2986,1.3116,1.2978,1.3103,0
2010-09-17,1.3104,1.3159,1.3019,1.3048,0
2010-09-19,1.3063,1.3083,1.3034,1.3073,0
2010-09-20,1.3072,1.312,1.3028,1.3094,0
2010-09-21,1.3095,1.3313,1.3064,1.3295,0
2010-09-22,1.3296,1.344,1.3267,1.3395,0
2010-09-23,1.3396,1.3413,1.3286,1.3344,0
2010-09-24,1.3345,1.3495,1.3305,1.3489,0
2010-09-26,1.3486,1.3495,1.3447,1.3463,0
2010-09-27,1.3462,1.3506,1.3425,1.346,0
2010-09-28,1.3461,1.3595,1.338,1.3586,0
2010-09-29,1.3585,1.3646,1.3573,1.3595,0
2010-09-30,1.3594,1.3683,1.3559,1.3659,0
2010-10-01,1.366,1.3791,1.3629,1.3791,0
2010-10-03,1.3801,1.3805,1.3746,1.376,0
2010-10-04,1.3759,1.3784,1.3636,1.365,0
2010-10-05,1.3651,1.3858,1.3643,1.3846,0
2010-10-06,1.3847,1.3947,1.3797,1.3917,0
2010-10-07,1.3918,1.4028,1.3856,1.3955,0
2010-10-08,1.3956,1.3983,1.3832,1.3937,0
2010-10-10,1.3994,1.4012,1.3958,1.3964,0
2010-10-11,1.3965,1.3985,1.3844,1.388,0
2010-10-12,1.3879,1.3977,1.3774,1.3965,0
2010-10-13,1.3964,1.4093,1.3912,1.4069,0
2010-10-14,1.4068,1.4121,1.4007,1.4037,0
2010-10-15,1.4036,1.4158,1.3936,1.3976,0
2010-10-17,1.399,1.399,1.3862,1.3881,0
2010-10-18,1.3882,1.4003,1.383,1.392,0
2010-10-19,1.3921,1.3957,1.3697,1.3771,0
2010-10-20,1.3772,1.399,1.3753,1.3918,0
2010-10-21,1.3917,1.4049,1.3888,1.3928,0
2010-10-22,1.3927,1.3971,1.3857,1.3952,0
2010-10-24,1.3973,1.4035,1.3933,1.4028,0
2010-10-25,1.4029,1.4079,1.3907,1.3961,0
2010-10-26,1.396,1.3981,1.3807,1.3811,0
2010-10-27,1.3812,1.3852,1.3733,1.3823,0
2010-10-28,1.3824,1.395,1.3796,1.3902,0
2010-10-29,1.3901,1.3946,1.3806,1.3946,0
2010-10-31,1.3961,1.3996,1.3894,1.398,0
2010-11-01,1.3979,1.401,1.3863,1.3916,0
2010-11-02,1.3917,1.4057,1.3908,1.4018,0
2010-11-03,1.4019,1.4152,1.3991,1.4136,0
2010-11-04,1.4135,1.4281,1.4112,1.4196,0
2010-11-05,1.4195,1.4229,1.4023,1.4031,0
2010-11-07,1.4057,1.4085,1.3918,1.3953,0
2010-11-08,1.3952,1.3976,1.3846,1.3869,0
2010-11-09,1.3868,1.3973,1.3734,1.376,0
2010-11-10,1.3761,1.3824,1.3669,1.3788,0
2010-11-11,1.3787,1.3804,1.36,1.3616,0
2010-11-12,1.3615,1.3775,1.3573,1.369,0
2010-11-14,1.3706,1.3749,1.3662,1.3684,0
2010-11-15,1.3683,1.3685,1.356,1.3617,0
2010-11-16,1.3618,1.3655,1.3446,1.3505,0
2010-11-17,1.3504,1.3592,1.346,1.3587,0
2010-11-18,1.3588,1.3667,1.3574,1.3629,0
2010-11-19,1.3631,1.373,1.3618,1.3671,0
2010-11-21,1.3719,1.3767,1.371,1.3761,0
2010-11-22,1.376,1.3785,1.3544,1.3578,0
2010-11-23,1.3579,1.3605,1.3359,1.3402,0
2010-11-24,1.3401,1.342,1.3283,1.3321,0
2010-11-25,1.3322,1.3386,1.3285,1.332,0
2010-11-26,1.3319,1.3324,1.3199,1.324,0
2010-11-28,1.3283,1.329,1.3181,1.3224,0
2010-11-29,1.3225,1.3301,1.3063,1.309,0
2010-11-30,1.3092,1.3135,1.2968,1.3009,0
2010-12-01,1.3008,1.3181,1.3008,1.3105,0
2010-12-02,1.3106,1.3246,1.3059,1.3203,0
2010-12-03,1.3202,1.3437,1.3198,1.3413,0
2010-12-05,1.3376,1.3421,1.3333,1.3351,0
2010-12-06,1.3352,1.338,1.3245,1.3336,0
2010-12-07,1.3335,1.34,1.3213,1.3231,0
2010-12-08,1.323,1.3321,1.3179,1.3313,0
2010-12-09,1.3314,1.3316,1.3163,1.3253,0
2010-12-10,1.3252,1.3281,1.3178,1.3227,0
2010-12-12,1.3198,1.3209,1.3181,1.3184,0
2010-12-13,1.3183,1.3432,1.3182,1.3388,0
2010-12-14,1.3387,1.3498,1.3335,1.3353,0
2010-12-15,1.3352,1.3377,1.3208,1.3211,0
2010-12-16,1.321,1.3294,1.318,1.3289,0
2010-12-17,1.3288,1.3358,1.3132,1.3188,0
2010-12-19,1.3186,1.3186,1.3124,1.3153,0
2010-12-20,1.3154,1.3193,1.3093,1.3166,0
2010-12-21,1.3167,1.3201,1.3073,1.3133,0
2010-12-22,1.3134,1.318,1.3077,1.3112,0
2010-12-23,1.3111,1.315,1.3054,1.3128,0
2010-12-24,1.3127,1.3147,1.3092,1.3116,0
2010-12-26,1.3114,1.313,1.3071,1.3126,0
2010-12-27,1.3125,1.3254,1.3112,1.3242,0
2010-12-28,1.3241,1.3273,1.3083,1.3127,0
2010-12-29,1.3126,1.3258,1.3108,1.3234,0
2010-12-30,1.3235,1.3314,1.3223,1.329,0
2010-12-31,1.3291,1.3423,1.3289,1.3364,0
2011-01-02,1.3345,1.3362,1.3275,1.3294,0
2011-01-03,1.3293,1.3394,1.3249,1.3351,0
2011-01-04,1.335,1.3433,1.3263,1.327,0
2011-01-05,1.3271,1.3289,1.3125,1.3139,0
2011-01-06,1.3138,1.3159,1.2968,1.2987,0
2011-01-07,1.2986,1.3018,1.2904,1.2906,0
2011-01-09,1.2876,1.2929,1.2874,1.2905,0
2011-01-10,1.2906,1.299,1.2873,1.2943,0
2011-01-11,1.2942,1.3016,1.2904,1.2989,0
2011-01-12,1.299,1.3144,1.2961,1.3104,0
2011-01-13,1.3103,1.3382,1.3088,1.3346,0
2011-01-14,1.3347,1.3456,1.3314,1.3388,0
2011-01-16,1.3384,1.3384,1.3332,1.3336,0
2011-01-17,1.3335,1.3341,1.3244,1.3314,0
2011-01-18,1.3315,1.3466,1.3302,1.3445,0
2011-01-19,1.3446,1.3537,1.3426,1.3455,0
2011-01-20,1.3456,1.3522,1.3395,1.3496,0
2011-01-21,1.3495,1.3625,1.3464,1.362,0
2011-01-23,1.364,1.3641,1.3585,1.3593,0
2011-01-24,1.3594,1.3685,1.3539,1.3658,0
2011-01-25,1.3657,1.3703,1.3572,1.3691,0
2011-01-26,1.3693,1.3721,1.364,1.3702,0
2011-01-27,1.3703,1.3757,1.3636,1.3703,0
2011-01-28,1.3702,1.3745,1.3582,1.361,0
2011-01-30,1.3587,1.3613,1.357,1.3603,0
2011-01-31,1.3604,1.3738,1.3597,1.3728,0
2011-02-01,1.3727,1.386,1.37,1.3851,0
2011-02-02,1.385,1.3855,1.3766,1.3794,0
2011-02-03,1.3795,1.3825,1.3608,1.363,0
2011-02-04,1.3629,1.3678,1.3542,1.358,0
2011-02-06,1.3562,1.3623,1.3562,1.3609,0
2011-02-07,1.3608,1.3626,1.3507,1.3615,0
2011-02-08,1.3614,1.3687,1.3592,1.364,0
2011-02-09,1.3641,1.3743,1.361,1.3701,0
2011-02-10,1.37,1.37,1.356,1.358,0
2011-02-11,1.3579,1.3579,1.3496,1.3556,0
2011-02-13,1.3506,1.3549,1.35,1.3532,0
2011-02-14,1.3533,1.3557,1.3427,1.3507,0
2011-02-15,1.3508,1.3549,1.346,1.3529,0
2011-02-16,1.3528,1.3608,1.3461,1.3579,0
2011-02-17,1.358,1.3626,1.3536,1.3604,0
2011-02-18,1.3605,1.3714,1.3544,1.3692,0
2011-02-20,1.37,1.3715,1.3669,1.3674,0
2011-02-21,1.3675,1.3708,1.3562,1.3591,0
2011-02-22,1.3592,1.3712,1.3524,1.3693,0
2011-02-23,1.3694,1.3786,1.3682,1.3775,0
2011-02-24,1.3774,1.3837,1.3703,1.3825,0
2011-02-25,1.3824,1.3834,1.3723,1.3752,0
2011-02-27,1.3758,1.3762,1.371,1.3756,0
2011-02-28,1.3757,1.3855,1.3754,1.3805,0
2011-03-01,1.3804,1.3853,1.3742,1.375,0
2011-03-02,1.3749,1.3889,1.3744,1.3855,0
2011-03-03,1.3856,1.3975,1.3832,1.3954,0
2011-03-04,1.3953,1.4006,1.394,1.3986,0
2011-03-06,1.3988,1.3997,1.3961,1.3974,0
2011-03-07,1.3973,1.4035,1.3955,1.3987,0
2011-03-08,1.3986,1.3987,1.3861,1.3888,0
2011-03-09,1.3887,1.3941,1.3855,1.3867,0
2011-03-10,1.3868,1.3878,1.3774,1.3822,0
2011-03-11,1.3823,1.3914,1.3751,1.3902,0
2011-03-13,1.3963,1.3978,1.3915,1.3918,0
2011-03-14,1.3919,1.4002,1.3904,1.3928,0
2011-03-15,1.3927,1.4012,1.3854,1.3965,0
2011-03-16,1.3966,1.4,1.3866,1.3919,0
2011-03-17,1.392,1.4086,1.3913,1.4075,0
2011-03-18,1.4074,1.4183,1.404,1.4181,0
2011-03-20,1.4194,1.4195,1.4158,1.4169,0
2011-03-21,1.4168,1.4239,1.4138,1.4221,0
2011-03-22,1.422,1.4247,1.4152,1.4177,0
2011-03-23,1.4176,1.4213,1.407,1.4075,0
2011-03-24,1.4076,1.4219,1.4053,1.4168,0
2011-03-25,1.4167,1.4193,1.4055,1.4086,0
2011-03-27,1.404,1.4068,1.402,1.4052,0
2011-03-28,1.4051,1.4114,1.4025,1.4083,0
2011-03-29,1.4084,1.4148,1.4046,1.4089,0
2011-03-30,1.4088,1.4146,1.4051,1.4131,0
2011-03-31,1.413,1.4232,1.4128,1.4163,0
2011-04-01,1.4164,1.4245,1.4061,1.4235,0
2011-04-03,1.423,1.4268,1.4216,1.4221,0
2011-04-04,1.422,1.425,1.4185,1.4192,0
2011-04-05,1.4193,1.4265,1.415,1.4257,0
2011-04-06,1.4256,1.4348,1.4251,1.4309,0
2011-04-07,1.4308,1.4403,1.4241,1.4391,0
2011-04-08,1.4392,1.4487,1.4383,1.4483,0
2011-04-10,1.4472,1.4482,1.444,1.4458,0
2011-04-11,1.4459,1.4469,1.4377,1.439,0
2011-04-12,1.4391,1.4518,1.4379,1.4473,0
2011-04-13,1.4472,1.4519,1.4407,1.4461,0
2011-04-14,1.4462,1.4513,1.4364,1.4468,0
2011-04-15,1.4467,1.4499,1.439,1.4429,0
2011-04-17,1.4412,1.442,1.4348,1.4382,0
2011-04-18,1.4381,1.4387,1.4156,1.4228,0
2011-04-19,1.4227,1.4412,1.4204,1.4397,0
2011-04-20,1.4398,1.4581,1.4382,1.4563,0
2011-04-21,1.4562,1.4648,1.4531,1.4557,0
2011-04-22,1.4558,1.4588,1.4533,1.456,0
2011-04-24,1.4561,1.4605,1.4524,1.4545,0
2011-04-25,1.4547,1.4626,1.4492,1.4534,0
2011-04-26,1.4535,1.4713,1.4507,1.4683,0
2011-04-27,1.4684,1.4881,1.4632,1.4863,0
2011-04-28,1.4862,1.4872,1.4772,1.4829,0
2011-04-29,1.4828,1.4877,1.4804,1.4807,0
2011-05-01,1.4816,1.4863,1.4762,1.479,0
2011-05-02,1.4791,1.4901,1.4768,1.4801,0
2011-05-03,1.48,1.4889,1.4754,1.4797,0
2011-05-04,1.4796,1.4939,1.4791,1.4863,0
2011-05-05,1.4864,1.4898,1.4509,1.454,0
2011-05-06,1.4539,1.4586,1.4309,1.4315,0
2011-05-08,1.4363,1.4406,1.434,1.4397,0
2011-05-09,1.4398,1.4441,1.4253,1.4331,0
2011-05-10,1.4332,1.4422,1.427,1.4399,0
2011-05-11,1.44,1.4422,1.4172,1.422,0
2011-05-12,1.4221,1.4276,1.4122,1.4197,0
2011-05-13,1.4198,1.4338,1.4066,1.4117,0
2011-05-15,1.409,1.4106,1.4047,1.4085,0
2011-05-16,1.4086,1.4243,1.4079,1.4164,0
2011-05-17,1.4163,1.4286,1.412,1.4275,0
2011-05-18,1.4276,1.4305,1.4194,1.4287,0
2011-05-19,1.4286,1.4336,1.4205,1.431,0
2011-05-20,1.4311,1.4344,1.4132,1.416,0
2011-05-22,1.4125,1.4146,1.4077,1.4083,0
2011-05-23,1.4084,1.4088,1.3968,1.4056,0
2011-05-24,1.4057,1.4132,1.4033,1.4057,0
2011-05-25,1.4058,1.4172,1.4012,1.4142,0
2011-05-26,1.4143,1.4277,1.4068,1.4261,0
2011-05-27,1.4262,1.4323,1.4182,1.4318,0
2011-05-29,1.4322,1.4322,1.4278,1.4288,0
2011-05-30,1.4287,1.4405,1.4256,1.4374,0
2011-05-31,1.4375,1.4436,1.4361,1.4421,0
2011-06-01,1.442,1.4458,1.4307,1.4356,0
2011-06-02,1.4355,1.4517,1.4348,1.4486,0
2011-06-03,1.4485,1.4642,1.445,1.4635,0
2011-06-05,1.461,1.4656,1.461,1.4636,0
2011-06-06,1.4635,1.4657,1.4556,1.4598,0
2011-06-07,1.4599,1.4695,1.4594,1.4653,0
2011-06-08,1.4654,1.4688,1.4563,1.4618,0
2011-06-09,1.4617,1.4645,1.4476,1.4513,0
2011-06-10,1.4514,1.4516,1.4321,1.4346,0
2011-06-12,1.4325,1.4356,1.432,1.4336,0
2011-06-13,1.4337,1.444,1.4324,1.4424,0
2011-06-14,1.4425,1.4496,1.4403,1.4409,0
2011-06-15,1.4408,1.4429,1.4155,1.4193,0
2011-06-16,1.4194,1.4221,1.4072,1.4168,0
2011-06-17,1.4169,1.4338,1.4126,1.4312,0
2011-06-19,1.428,1.4298,1.4251,1.4253,0
2011-06-20,1.4252,1.4383,1.419,1.433,0
2011-06-21,1.4329,1.4432,1.4314,1.4367,0
2011-06-22,1.4366,1.4441,1.4285,1.4302,0
2011-06-23,1.4301,1.4313,1.4125,1.4257,0
2011-06-24,1.4258,1.4305,1.4141,1.4188,0
2011-06-26,1.4192,1.4197,1.4102,1.4126,0
2011-06-27,1.4128,1.4329,1.4112,1.4293,0
2011-06-28,1.4292,1.4396,1.4236,1.435,0
2011-06-29,1.4349,1.4518,1.4345,1.4507,0
2011-06-30,1.4506,1.4537,1.4447,1.4492,0
2011-07-01,1.4491,1.4551,1.4435,1.4525,0
2011-07-03,1.4534,1.4577,1.453,1.456,0
2011-07-04,1.4561,1.4562,1.447,1.4489,0
2011-07-05,1.4488,1.4498,1.4396,1.4456,0
2011-07-06,1.4455,1.4465,1.4285,1.4324,0
2011-07-07,1.4325,1.4373,1.422,1.4348,0
2011-07-08,1.4349,1.4362,1.4205,1.4264,0
2011-07-10,1.4206,1.4227,1.4186,1.4193,0
2011-07-11,1.4194,1.4205,1.3931,1.3962,0
2011-07-12,1.3961,1.4053,1.3836,1.4008,0
2011-07-13,1.4007,1.4282,1.3983,1.4208,0
2011-07-14,1.4209,1.4258,1.4115,1.4171,0
2011-07-15,1.4172,1.4188,1.4091,1.4155,0
2011-07-17,1.4106,1.4133,1.4051,1.4069,0
2011-07-18,1.407,1.4135,1.4013,1.4118,0
2011-07-19,1.4117,1.4216,1.4068,1.4153,0
2011-07-20,1.4152,1.4273,1.4132,1.4253,0
2011-07-21,1.4252,1.4437,1.4138,1.4387,0
2011-07-22,1.4388,1.4436,1.4323,1.4358,0
2011-07-24,1.4388,1.4417,1.4357,1.4379,0
2011-07-25,1.4378,1.4485,1.4324,1.4477,0
2011-07-26,1.4478,1.4535,1.4455,1.4506,0
2011-07-27,1.4507,1.4529,1.4329,1.436,0
2011-07-28,1.4359,1.44,1.4253,1.4339,0
2011-07-29,1.434,1.4412,1.4229,1.4398,0
2011-07-31,1.4381,1.4394,1.4345,1.4385,0
2011-08-01,1.4384,1.4453,1.4184,1.4248,0
2011-08-02,1.4247,1.4282,1.415,1.42,0
2011-08-03,1.4199,1.4371,1.4142,1.4295,0
2011-08-04,1.4296,1.433,1.4054,1.4092,0
2011-08-05,1.4093,1.4297,1.4072,1.4281,0
2011-08-07,1.4423,1.4431,1.4288,1.4317,0
2011-08-08,1.4316,1.4401,1.4128,1.4223,0
2011-08-09,1.4222,1.4397,1.4183,1.4349,0
2011-08-10,1.4348,1.44,1.4122,1.4217,0
2011-08-11,1.4216,1.4293,1.4103,1.4183,0
2011-08-12,1.4182,1.429,1.4149,1.4246,0
2011-08-14,1.4268,1.4317,1.4251,1.4289,0
2011-08-15,1.429,1.4476,1.4263,1.4428,0
2011-08-16,1.4427,1.4471,1.4351,1.4387,0
2011-08-17,1.4386,1.4516,1.4324,1.4406,0
2011-08-18,1.4405,1.4451,1.427,1.4315,0
2011-08-19,1.4316,1.4451,1.4258,1.4396,0
2011-08-21,1.4379,1.4391,1.436,1.4366,0
2011-08-22,1.4367,1.4433,1.4346,1.4374,0
2011-08-23,1.4375,1.4499,1.4363,1.4405,0
2011-08-24,1.4406,1.4481,1.4379,1.4406,0
2011-08-25,1.4407,1.4474,1.4327,1.4407,0
2011-08-26,1.4406,1.4501,1.4328,1.4498,0
2011-08-28,1.4499,1.4503,1.4465,1.4485,0
2011-08-29,1.4484,1.4548,1.4483,1.4516,0
2011-08-30,1.4515,1.4532,1.4384,1.4435,0
2011-08-31,1.4436,1.4468,1.4353,1.4365,0
2011-09-01,1.4366,1.4376,1.4225,1.4258,0
2011-09-02,1.4259,1.4286,1.4183,1.4204,0
2011-09-04,1.4162,1.4173,1.4135,1.4167,0
2011-09-05,1.4168,1.4169,1.4058,1.4078,0
2011-09-06,1.4077,1.4248,1.3973,1.405,0
2011-09-07,1.4049,1.4148,1.4011,1.4054,0
2011-09-08,1.4053,1.4088,1.3872,1.3924,0
2011-09-09,1.3923,1.3923,1.3626,1.3655,0
2011-09-11,1.3586,1.3621,1.3554,1.3582,0
2011-09-12,1.3581,1.3693,1.3501,1.3685,0
2011-09-13,1.3686,1.3738,1.3557,1.3634,0
2011-09-14,1.3635,1.3782,1.359,1.3723,0
2011-09-15,1.3722,1.3935,1.3706,1.3861,0
2011-09-16,1.3862,1.3875,1.3753,1.3795,0
2011-09-18,1.3692,1.3714,1.3646,1.3666,0
2011-09-19,1.3665,1.372,1.3585,1.3607,0
2011-09-20,1.3608,1.3743,1.3597,1.3717,0
2011-09-21,1.3718,1.3787,1.3531,1.3542,0
2011-09-22,1.3541,1.3572,1.3385,1.353,0
2011-09-23,1.3531,1.3558,1.3418,1.35,0
2011-09-25,1.3521,1.3549,1.339,1.3398,0
2011-09-26,1.34,1.3566,1.3361,1.3528,0
2011-09-27,1.3529,1.3667,1.348,1.3559,0
2011-09-28,1.3558,1.3689,1.3519,1.3611,0
2011-09-29,1.3612,1.3678,1.3522,1.3525,0
2011-09-30,1.3526,1.3563,1.3383,1.3387,0
2011-10-02,1.3344,1.3369,1.3318,1.3325,0
2011-10-03,1.3324,1.3381,1.3163,1.3197,0
2011-10-04,1.3196,1.3369,1.3145,1.3288,0
2011-10-05,1.3289,1.3383,1.3277,1.3329,0
2011-10-06,1.3328,1.345,1.3241,1.3436,0
2011-10-07,1.3435,1.3524,1.3361,1.3377,0
2011-10-09,1.3389,1.3468,1.3377,1.3458,0
2011-10-10,1.3459,1.3698,1.3454,1.3625,0
2011-10-11,1.3626,1.3683,1.3565,1.3614,0
2011-10-12,1.3613,1.3833,1.361,1.3793,0
2011-10-13,1.3792,1.3826,1.3685,1.376,0
2011-10-14,1.3759,1.3894,1.3744,1.3881,0
2011-10-16,1.3867,1.3887,1.3827,1.3843,0
2011-10-17,1.3844,1.3914,1.3724,1.3782,0
2011-10-18,1.3783,1.3817,1.3652,1.3802,0
2011-10-19,1.38,1.3868,1.3707,1.3725,0
2011-10-20,1.3724,1.3842,1.3656,1.3774,0
2011-10-21,1.3775,1.3901,1.3703,1.3895,0
2011-10-23,1.3843,1.3882,1.3829,1.3881,0
2011-10-24,1.3882,1.3956,1.3822,1.3907,0
2011-10-25,1.3908,1.396,1.3848,1.3922,0
2011-10-26,1.3923,1.3994,1.3797,1.3969,0
2011-10-27,1.397,1.4247,1.3962,1.4168,0
2011-10-28,1.4167,1.4197,1.4133,1.4151,0
